ID,Title,Slug,_yoast_wpseo_title,_yoast_wpseo_metadesc,_yoast_wpseo_focuskw
37,"How Americans Perceive the Health Care System",howamericansperceivethehealthcaresystem,"National Coalition On Health Care",,
120,"1998 Policy Studies",1998policystudies,"1998 Policy Studies",,
126,"A REALITY CHECK:<br>THE PUBLIC'S CHANGING VIEWS OF OUR HEALTH CARE SYSTEM<br>BY<br>JOEL E. MILLER, DIRECTOR, POLICY<br>NATIONAL COALITION ON HEALTH CARE",arealitycheck,"National Coalition On Health Care",,
133,"<strong>As Good As It Should Get:<br>Making Health Care Better In The New Millennium</strong>",asgoodasitshouldget,"Press Releases",,
137,"Changes In The Growth In Health Care Spending:<br>Implicatons For Consumers",changeshealthcarespending,"National Coalition On Health Care",,
139,"Comprehensive Medicare Reform: Defined Benefit vs. Defined Contribution",comprehensivemedicarereform,"Press Releases",,
142,"Why The Quality of U.S. Health Care Must Be Improved",keyfindingsonquality,"National Coalition On Health Care",,
144,"Key Findings on Health Care Spending",keyfindingsonspending,"National Coalition On Health Care",,
146,"Rethinking the Medicare Eligibility Age Medicare Series Report #1",rethinkingthemedicareeligibilityage,"NationalCoalition On Health Care",,
151,"The Role of Medical Savings Accounts in Health System Reform",roleofmsa,"NationalCoalition On Health Care",,
154,"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",therisingnumberofuninsured,"National Coalition On Health Care",,
156,"1999 Policy Studies",1999policystudies,"1999 Policy Studies",,
160,"Down A Dangerous Path: The Erosion of Health Insurance Coverage in the United States",downadangerouspath,Study,,
164,"Health Insurance and Taxes: The Impact of Proposed Changes in Current Federal Policy",healthandtaxes,Study,,
166,"Quality Health Care: New Challenges as Medicare Evolves",qualityhealthcare_medicare,"Press Releases",,
168,"Small Employer Health Insurance Purchasing Arrangements: Can They Expand Coverage?",smallemployerhipurchasingarrangements,Study,,
223,"Allies in Action",list,"Allies in Action | National Coalition on Health Care",,
